Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,1uF,C_0805_2012Metric,203.327,-55.245,0,top
C102,10nF,C_0805_2012Metric,207.01,-55.245,180,top
C103,220uF,CP_Elec_8x10,230.1113,-53.721,180,top
C104,220uF,CP_Elec_8x10,176.022,-52.324,0,top
C105,100nF,C_0805_2012Metric,172.339,-63.246,180,top
C106,100nF,C_0805_2012Metric,237.363,-66.929,90,top
C107,220uF,CP_Elec_8x10,218.186,-78.359,0,top
C108,220uF,CP_Elec_8x10,189.357,-78.359,180,top
C109,100nF,C_0805_2012Metric,126.111,-95.758,0,top
C110,100nF,C_0805_2012Metric,126.111,-98.806,0,top
C111,100nF,C_0805_2012Metric,126.111,-101.854,0,top
C112,100nF,C_0805_2012Metric,126.111,-104.902,0,top
C113,100nF,C_0805_2012Metric,126.111,-107.823,0,top
C114,100nF,C_0805_2012Metric,126.111,-110.871,0,top
C115,100nF,C_0805_2012Metric,126.111,-113.919,0,top
C116,100nF,C_0805_2012Metric,126.111,-116.967,0,top
C117,220uF,CP_Elec_8x10,217.9193,-88.265,0,top
C118,220uF,CP_Elec_8x10,189.357,-88.011,180,top
C119,10nF,C_0805_2012Metric,229.235,-85.471,0,top
C120,10nF,C_0805_2012Metric,179.197,-85.598,0,top
C121,100nF,C_0805_2012Metric,229.235,-87.757,0,top
C122,100nF,C_0805_2012Metric,179.197,-83.439,0,top
C123,100nF,C_0805_2012Metric,166.497,-116.713,270,top
C124,100nF,C_0805_2012Metric,126.746,-71.628,180,top
C125,100nF,C_0805_2012Metric,130.302,-71.628,180,top
C126,100nF,C_0805_2012Metric,138.176,-71.628,180,top
C127,100nF,C_0805_2012Metric,141.732,-71.628,180,top
C128,100nF,C_0805_2012Metric,149.606,-71.628,180,top
C129,100nF,C_0805_2012Metric,153.162,-71.628,180,top
C130,100nF,C_0805_2012Metric,161.036,-71.628,180,top
C131,100nF,C_0805_2012Metric,164.592,-71.628,180,top
C132,100nF,C_0805_2012Metric,180.721,-116.713,270,top
C133,10nF,C_0805_2012Metric,124.46,-67.818,270,top
C134,10nF,C_0805_2012Metric,135.89,-67.818,270,top
C135,10nF,C_0805_2012Metric,147.32,-67.818,270,top
C136,10nF,C_0805_2012Metric,158.75,-67.818,270,top
C137,10uF,C_0805_2012Metric,197.104,-132.842,90,top
C138,100nF,C_0805_2012Metric,237.7313,-132.461,270,top
C139,100nF,C_0805_2012Metric,214.63,-131.318,180,top
C140,100nF,C_0805_2012Metric,133.096,-123.444,0,top
D101,SS54HF,DO-214AC,196.215,-50.673,90,top
D102,SS54HF,DO-214AC,217.805,-71.755,180,top
D103,SS54HF,DO-214AC,189.865,-71.755,0,top
D104,LED,LED_0805_2012Metric,109.22,-69.342,270,top
D105,LED,LED_0805_2012Metric,116.586,-69.342,270,top
D106,LED,LED_0805_2012Metric,131.191,-87.63,270,top
D107,LED,LED_0805_2012Metric,142.494,-87.63,270,top
D108,LED,LED_0805_2012Metric,154.051,-87.63,270,top
D109,LED,LED_0805_2012Metric,165.481,-87.63,270,top
F101,Fuse,FUSE_1206_3216Metric,210.947,-50.038,270,top
L101,Ferrite,FB_0603_1608Metric,196.088,-55.245,180,top
L102,15uH,L_10.4x10.4_H4.8,188.468,-52.324,180,top
L103,15uH,L_10.4x10.4_H4.8,218.5543,-52.705,0,top
L104,15uH,L_10.4x10.4_H4.8,227.203,-64.008,0,top
L105,15uH,L_10.4x10.4_H4.8,180.34,-64.135,180,top
L106,15uH,L_10.4x10.4_H4.8,231.14,-75.692,270,top
L107,15uH,L_10.4x10.4_H4.8,175.514,-76.327,270,top
Q101,BT136-600,TO-252-2,129.032,-64.516,90,top
Q102,BT136-600,TO-252-2,140.462,-64.516,90,top
Q103,BT136-600,TO-252-2,151.892,-64.516,90,top
Q104,BT136-600,TO-252-2,163.322,-64.516,90,top
R101,15R,R_0805_2012Metric,155.9433,-127.127,0,top
R102,15R,R_0805_2012Metric,163.3093,-127.127,0,top
R103,15R,R_0805_2012Metric,170.2943,-127.127,0,top
R104,15R,R_0805_2012Metric,177.5333,-127.127,0,top
R105,1K,R_0805_2012Metric,155.067,-123.698,180,top
